priority,name,city,strategy,category,rating,reviews,price_from,website,what,why,gift_cert_ready,visual_score,set_fit,rating_source,note,yandex_maps_query,yandex_maps_url,source,confidence,maybe_partner,status,comment
A,Московская Школа Мозаики (МШМ),Москва,craft,Мозаика,5.0,10,,https://moscowmosaic.school/,"Мастер-класс одного занятия: декоративная работа в античном (римская смальта) или современном стиле, на ВДНХ.",Профильная школа мозаики с широким спектром техник; мозаика — свежая для подарочного рынка ниша.,,4,Для мужчин;Для женщин;Универсальные,2gis,Карточка Яндекс Карт есть. Zoon указывает второй адрес — Новодмитровская 1с1,Московская Школа Мозаики ВДНХ,,https://moscowmosaic.school/master-classes,medium,,,
A,Школа парфюмерии «Я творю»,Москва,craft,Парфюмерия — свой аромат,5.0,5,,https://parfum.itvoru.studio/msk,"2,5–3 часа с парфюмером: собираешь собственную формулу и уносишь духи в подарочной упаковке.","Есть отдельный лендинг подарочных сертификатов, индивидуальный и групповой формат; парфюмерные МК — топ-запрос на подарок.",True,4,Для мужчин;Для женщин;Универсальные,2gis,"Мало оценок (2ГИС 5.0/5, Яндекс 5.0/3). Сеть: две точки в Москве (М. Златоустинский / Мясницкая) + другие города",Школа парфюмерии Я творю Москва,,https://parfum.itvoru.studio/msk/master-classes,medium,,,
A,GlassBaker,Москва,craft,Стекло — витраж/фьюзинг/лэмпворк,5.0,3,,https://glassbaker.art/,"Занятия по витражу Тиффани, лэмпворку, фьюзингу и стеклянной мозаике в Усадьбе Измайлово; изделие забираешь в тот же день или после остывания.","Полный набор стеклянных техник в одной мастерской, подходит парам и компаниям; локация в усадьбе — фотогенично.",,4,Для мужчин;Для женщин;Универсальные,2gis,"Очень мало оценок (2ГИС 5.0/3, Zoon 4.0/1). Адрес: Измайловский остров, городок Баумана 2/1",GlassBaker мастерская стекла Измайлово,,https://glassbaker.art/study/,medium,,,
A,Relaxiya (центр спа-релаксации и флоатинга),Москва,relax,Флоатинг + спа,5.0,,2600,https://relaxiya.ru/,"Флоат-капсула в связке со спа-ритуалом и массажем (флоатинг-дуэт, «полное погружение»).","№1 флоатинг Москвы по версии VC.ru, 4.9 на 2ГИС и 5.0 на Яндекс Картах; на сайте есть сертификаты, сочетание флоатинг+массаж хорошо продаётся как подарок.",True,4,Для двоих;Для женщин;Универсальные,,,Релаксия спа флоатинг Щукинская 2,,https://relaxiya.ru/,medium,,,
A,Vorya Club,МО,country,Глэмпинг с чаном и сауной,5.0,,10000,https://tripinglamp.ru/glampings/vorya-club/,"6 барнхаусов на берегу реки Воря (Щёлково) с панорамными окнами, горячим чаном и финской сауной, SUP-прокат, онлайн-кинотеатр.","Средняя оценка гостей 5/5 на агрегаторах, 30 км от МКАД; проживание от 10 000 ₽, баня от 5 000 ₽ — чек в целевом диапазоне.",,5,Для двоих,,,Vorya Club глэмпинг Аксиньино Щёлково,,https://glampspace.ru/object/vorya-club/,medium,,,
A,Кино Хауз (Москва) — антикинотеатр для двоих,Москва,romance,приватный кинотеатр,4.9,1261,,https://msk.kinohouse.me/,"Сеть приватных кинозалов, зал №4 «для двоих» с диваном, свечами, лепестками и ужином на заказ.","Рейтинг Яндекс 4.9 при 1261 отзыве, работают с 2012 г. — самый проверенный кинотеатр-для-двоих в Москве.",,4,Для двоих,,,Кино Хауз антикинотеатр Москва,,https://msk.kinohouse.me/halls/hall-4/,high,,,
A,Термы Gremm,Москва,season,Термальный комплекс,4.9,843,,,"Термальный SPA-комплекс на Варшавском шоссе с бассейном на крыше, банями и гастрономией.",Назван лучшим SPA-центром 2026 в рейтинге терм Москвы; открытый бассейн на крыше зимой — визуально сильный сезонный формат для пары.,,5,Для мужчин;Универсальные,yandex,"Яндекс 4.9 (843 оценки), «Лучший SPA-центр 2026»; 2ГИС 4.9 (801). Варшавское ш. 150Б",Gremm термы Варшавское шоссе,,https://tenchat.ru/media/3594051-luchshiye-termalnyye-kompleksy-moskvy-top9-reyting-term,medium,,,
A,Sky Wood Hills,СПб и ЛО,country,"Глэмпинг-парк с A-frame, куполами и баней у озера",4.9,744,7500,https://skywoodhills.com/,"Большой прибрежный глэмпинг в Выборгском районе: A-frame, safari-lodge, купола-«соты», панорамный ресторан, баня и офуро у озера.","Рейтинг 4.9 при 744 отзывах на Яндекс Картах, цены от 7 500 ₽ — масштабный и стабильный оператор с сильным визуалом.",,5,Для двоих,,,Sky Wood Hills глэмпинг Выборгский район,,https://zoon.ru/spb/holiday_house/glemping_sky_wood_hills/,high,,,
A,Музей занимательных наук «Экспериментаниум»,Москва,family,Музей науки / экспериментариум,4.9,618,,https://experimentanium.ru/,"Три этажа и 300+ интерактивных экспонатов, научные шоу и мастер-классы по выходным, в 2026 — интерактивный научный спектакль «Отдел космических испытаний».","Флагманский научный музей Москвы, премия 2026, 358 отзывов на OSD со средней 5/5; семейный билет + шоу — понятный сертификат.",,4,Для детей;Универсальные,2gis,2ГИС 4.9 (618 оценок / 398 отзывов); Zoon 4.4. Карточка Яндекс Карт есть,Экспериментаниум Ленинградский проспект 80,,https://www.osd.ru/objinf.asp?ob=1206,high,,,
A,Мы Дома — Зеркальный лес,МО,romance,ночь в необычном отеле,4.9,581,7900,https://travel.yandex.ru/hotels/moscow-oblast/my-doma-zerkalnyi-les/,"Зеркальные домики и дом на дереве для двоих в д. Шелково, ванна с видом на лес, 3 оленя на территории.","Рейтинг 4.9 при 581 отзыве, от 7900–9090 ₽/ночь — самый сильный «инстаграмный» отель для двоих под Москвой.",,5,Для двоих,,,Мы дома Зеркальный лес Шелково,,https://otello.ru/hotel/70000001103930926/reviews,high,,,
A,Охта Кай (OHTAKAI),СПб и ЛО,relax,Термальный спа-комплекс,4.9,573,,https://ohtakai.ru/,"Термальные зоны, хаммам, финская сауна, бассейн, медитации и спа на курорте «Охта Парк».","4.9 при 573 оценках — лучший рейтинг среди терм Петербурга; загородный курортный визуал, круглогодичная загрузка.",,5,Для двоих;Для женщин;Универсальные,,,Охта Кай СПА-комплекс Мистолово Охта Парк,,https://2gis.ru/spb/firm/70000001075218855,high,,,
A,Siberia (банный спа-комплекс),Москва,relax,Авторская баня премиум,4.9,503,6250,https://siberia-spa.ru/,"Приватный банный вечер в одной из 5 авторских бань (Кочевник, Знахарь, Таёжная изба, Ольхон, Курная изба) с программами парения и паровой медитацией.","Открылся в 2025 и сразу стал флагманом «нового русского велнеса»; 4.9 при 500+ отзывах, яркие интерьеры, на сайте готовые сертификаты.",True,5,Для двоих;Для женщин;Универсальные,,,Siberia баня Образцова 31 Москва,,https://sauna.ru/banya-bannyjj-kompleks-siberia,high,,,
A,Зооферма Шихово,МО,country|family,Зооферма / контактная ферма,4.9,225,1000,https://shihovopark.ru/,"Агротуристический парк в Дмитровском округе: Олений парк, Хаски-остров, «Пушистая деревня» с альпаками, тропикариум, крокодилы, конюшня, мастер-классы и анимация.","Более 80 животных, комплексный билет и готовые семейные программы; высокий рейтинг при большом числе отзывов (4.9, 225 на 2ГИС). Не входит в список исключений.",,4,Для двоих;Для детей;Универсальные,,,Зооферма Шихово Дмитровский округ,,https://2gis.ru/moscow/firm/70000001049076969,high,,,
A,Кино Хауз (СПб) — антикинотеатр для двоих,Санкт-Петербург,romance,приватный кинотеатр,4.9,216,900,https://spb.kinohouse.me/,"8 приватных кинозалов у м. Чернышевская (ул. Чайковского, 24), комната на двоих от 900 ₽/час, зал можно украсить под свидание.",Рейтинг 4.9 при 216 оценках; сеть работает с 2012 г. и сама ведёт блог «свидание в СПб 2026».,,4,Для двоих,,,Кино Хауз антикинотеатр Чайковского 24,,https://spb.kinohouse.me/blog/kuda-shodit-na-svidanie-v-spb/,high,,,
A,Respace prime Wellness & SPA,Москва,relax,Велнес-центр / термальная зона,4.9,120,14000,https://wellness-respace.ru/,"Гостевой визит в премиальный велнес: термальная зона, хаммам, тёплые бассейны, авторские парения, спа-ритуалы на Comfort Zone.","4.9 (120 отзывов 2ГИС), в 2026 получил международную spa-премию «best city spa»; сертификаты на баню/бассейн/спа уже продаются на сайте.",True,5,Для двоих;Для женщин,,,Respace prime Wellness SPA 1-я Тверская-Ямская 2,,https://2gis.ru/moscow/firm/70000001081661454/tab/reviews,high,,,
A,Format Film Lab,Санкт-Петербург,learn,Плёночная фотография — проявка/печать,4.9,97,,https://formatfilmlab.ru/,"Фотолаборатория с МК по проявке, аналоговой печати и альтернативным процессам.","Модная плёночная лаборатория Петербурга; редкий формат, идеально для креативной аудитории.",,4,Для женщин;Универсальные,2gis,2ГИС 4.9 по 97 оценкам (44 отзыва); ул. Правды 6,Format Film Lab фотолаборатория Санкт-Петербург,,https://formatfilmlab.ru/services,medium,,,
A,Pandora — частный кинотеатр для двоих,Санкт-Петербург,romance,приватный кинотеатр,4.9,95,,https://zoon.ru/spb/entertainment/chastnyj_kinoteatr_pandora_na_naberezhnoj_obvodnogo_kanala/,"8 приватных залов в разных стилях (Херсонская, 7 и наб. Обводного канала, 80): кино, караоке, настолки, можно оформить зал свечами и лепестками.","Рейтинг 4.9 при 95 оценках, стабильно входит в подборки «куда на свидание в СПб» (Piter.now, KinoHouse-блог).",,4,Для двоих,,,Pandora частный кинотеатр Херсонская 7,,https://2gis.ru/spb/firm/70000001030532951,high,,,
A,Трёхгорные бани,Москва,relax,Банный комплекс в центре,4.9,72,,https://tbani.ru/,Авторские банные ритуалы в уникальных банных залах с кухней в центре Москвы.,"Упоминается в подборках «новый русский велнес» 2025–2026 рядом с Siberia; красивые залы, гастро-составляющая.",,4,Для двоих;Для женщин;Универсальные,2gis,Zoon 4.6 (18 отзывов/52 оценки). Рочдельская 15с30,Трехгорные бани Москва,,https://tbani.ru/,medium,,,
A,Гольф-клуб «Петергоф»,СПб и ЛО,premium,Гольф-клуб,4.9,65,,https://peterhofgolf.ru/,"Вводное занятие (1 ч теории + 1 ч практики), уроки для двоих и курсы для начинающих.","Единственный чемпионский гольф-клуб под Петербургом, сертификаты продаются на сайте.",True,5,Для двоих;Для мужчин;Премиум,2gis,2ГИС 4.9/65; Яндекс 4.6 по 7 оценкам; Гофмейстерская 1,Гольф-клуб Петергоф,,https://peterhofgolf.ru/certificates,medium,,,
A,M2 — студия автопортрета,Санкт-Петербург,visual,студия автопортрета,4.9,54,,,"Студия автопортрета на Московском пр., 2: удобный сетап, дизайнерский интерьер, фото готовы за пару часов.",Рейтинг 4.9 при 54 оценках на 2ГИС; локация у Сенной — высокий трафик.,,4,Для двоих;Для женщин;Универсальные,,,M2 студия автопортрета Московский проспект 2,,https://2gis.ru/spb/firm/70000001083334469/tab/reviews,high,,,
A,Scratch DJ School,Москва,learn,DJ — мастер-класс,4.9,13,9000,https://scratchdj.ru/,"Мастер-класс по диджеингу: оборудование, сведение, запись собственного микса; сертификат-«пластинка» от 9000 ₽.","1000+ выпускников, 9+ лет, гослицензия; фирменный сертификат в виде винила — уже упакованный подарок.",True,4,Для женщин;Универсальные,2gis,"Сеть (Москва/Флакон, Королёв, Казань). Zoon ниже — 3.8",Scratch DJ School Москва,,https://scratchdj.ru/podarok,high,,,
A,Процесс (чайный клуб),Санкт-Петербург,mindful,Чайная церемония,4.9,,,https://process-tea.ru/chainaya/,"Гунфу-ча с редкими пуэрами и улунами, чайные медитации, дегустации и мастер-классы от дипломированных чайных мастеров.","Яндекс Карты 4.9 / 2ГИС 5.0, «маленький волшебный мир» по отзывам; лучшая замена ЧаЕ/КитЧай в Петербурге.",,4,Для двоих;Для женщин,,,чайный клуб Процесс Санкт-Петербург,,https://www.kp.ru/afisha/spb/obzory/moj-gorod/luchshie-chainye-czeremonii-v-sankt-peterburge/,medium,,,
A,7SKY — свидание на крыше под куполом,Москва,romance,Свидание на крыше / купол,4.8,62,,https://7skyy.ru/,"Крыша 100 м² в Оружейном переулке только для двоих: панорамный купол с дизайнерским интерьером и климатом, пикник с шампанским и десертами, телескоп, фотосессия в подарок.","Лидер выдачи по «свидание на крыше Москва 2026», работает круглый год (купол отапливается) — идеально под осень-зиму; готовые пакеты.",,5,Для двоих,2gis,Карточка Яндекс Карт есть; Zoon 51 отзыв. Работают с 2013,7 Sky свидание на крыше Оружейный переулок 15а,,https://2gis.ru/moscow/firm/70000001064374710,high,,,
A,WK White Kitchen (+ Vokzal 1853),Санкт-Петербург,gastro,Кулинарная студия / грузинская кухня,4.8,42,,https://white-kitchen.ru/,Кулинарные МК (в т.ч. грузинская кухня) в студии в Лиговском пер. и на площадке Vokzal 1853; бессрочные сертификаты.,"Две площадки, включая модный фудхолл Vokzal 1853; бессрочный сертификат — удобно.",True,4,Для двоих;Для мужчин;Для женщин;Универсальные,2gis,"4.8 по 42 отзывам (сниппет, вероятно 2ГИС, Лиговский пер. 1); Restoclub 7 отзывов",White Kitchen кулинарная студия Лиговский переулок,,https://white-kitchen.ru/sertifikat-na-kulinarnyj-master-klass/,medium,,,
A,Театр Dreamville,Санкт-Петербург,family,Иммерсивный детский театр,4.8,22,,https://dreamville.ru/,"Первый детский иммерсивный театр Петербурга: ребёнок — не зритель, а герой сказки с уникальными декорациями и интерактивным сюжетом.","Новый формат «иммерсив для детей», растущий тренд 2025–2026; билеты на семью — готовый подарок.",,4,Для детей;Универсальные,other,"4.8 по 22 оценкам (2ГИС/Яндекс, источник не привязан); Б. Смоленский 10; критика организации праздников",Театр Dreamville Санкт-Петербург,,https://dreamville.ru/,medium,,,
A,База отдыха «Берёзовая роща»,МО,country,Глэмпинг / эко-отель с SPA,4.8,20,5500,https://ecobr.ru/glamping,"11 дизайнерских домов (A-фреймы, стеклянные дома, барнхаусы, сферы) под Солнечногорском, у домов чаны и барбекю, открытый бассейн, русская баня на дровах, хаммам, ресторан с доставкой в дом.",Редкое сочетание глэмпинга с полноценным SPA и питанием; горячий чан у A-фреймов (5500 ₽) — готовая допуслуга к сертификату.,,5,Для двоих,2gis,"На другом портале 4.5 (10 отзывов). Деревня Васюково, Солнечногорский округ",Берёзовая роща база отдыха Солнечногорск глэмпинг,,https://welcome.mosreg.ru/stories/glempingi-podmoskov-a,medium,,,
A,Академия Вина — школа сомелье,Санкт-Петербург,gastro,Дегустация вина с сомелье,4.8,15,,https://wine-academia.ru/,Дегустации и мастер-классы в камерных группах до 12 человек; сертификаты действуют 8 месяцев.,Самый большой календарь винных событий в СПб по заявлению школы; готовые сертификаты.,True,3,Для двоих;Для мужчин;Для женщин;Универсальные,2gis,2ГИС 4.8 по 15 оценкам (пр. Добролюбова 19); есть карточка Яндекс Карт,Академия Вина школа сомелье Санкт-Петербург,,https://wine-academia.ru/,medium,,,
A,KOZA family — Chef's Table,Санкт-Петербург,gastro,Chef's table / авторский ужин,4.7,184,,https://koza.family/chefs-table/,"Камерный ужин на 12 гостей с открытой кухней: греческий, японский ужин или Meat&Travel.","Популярная ресторанная группа СПб, готовый формат авторского ужина для двоих/компании.",,4,Для двоих;Для мужчин;Для женщин;Универсальные,yandex,"это сеть (Koza Group: Дереза, Стрекоза, Море); 4.7/184 — карточка KOZA Стрекоза (Ленинский 100); Chef's Table отдельной карточки нет",KOZA family ресторан Санкт-Петербург,,https://koza.family/avtorskij-uzhin/,medium,,,
A,Интерактивный театр «Сказкин Дом»,Санкт-Петербург,family,Интерактивный детский театр,4.7,97,,https://skazkindom.spb.ru/,Детский интерактивный театр-путешествие по сказочным комнатам с новым игровым пространством «домик на дереве».,"Давний семейный бренд Петербурга, обновлённое пространство; программы по возрастам от 1 года.",,3,Для детей;Универсальные,2gis,2ГИС 4.7/97 (Александровский парк 1а),Сказкин Дом интерактивный театр Санкт-Петербург,,https://skazkindom.spb.ru/,medium,,,
A,Big Wall (Бигвол) скалодром,Москва,extreme,скалодром,4.7,,1500,https://bigwallsport.ru/,"Сеть из 3 скалодромов: 16-метровая стена и боулдер у м. Спортивная, площадка в ВТБ Арене, летняя открытая стена в Лужниках; вводные занятия для новичков с автостраховкой.","Регулярно №1 в рейтингах скалодромов Москвы, самый высокий в городе; открытая стена в Лужниках — эффектный летний формат для сертификата. Zoon 4.7.",,4,Для мужчин;Универсальные,,,Бигвол Спорт скалодром Лужники,,https://spasibovsem.ru/ratings/kompanii-i-mesta/luchshie-skalodromy-moskvy/,medium,,,
A,Особняк «Дашков 5» — иммерсивный театр,Москва,visual,Иммерсивный спектакль,4.6,110,2500,https://dashkov5.com/,Первый репертуарный иммерсивный театр страны (с 2016): шоу «Ромео и Джульетта. Любовь вне времени» в интерьерах особняка.,"Флагман иммерсивного жанра в Москве, билеты 2500–12 500 ₽ — в диапазоне сертификата.",,5,Для двоих;Для женщин;Универсальные,2gis,"На картах значится как иммерсивный театр «Вернувшиеся» (Дашков пер. 5). Текущие постановки: «Ромео и Джульетта», «Вернувшиеся»",Дашков 5 особняк иммерсивный театр,,https://www.vedomosti.ru/gorod/culturalcity/articles/kamernie-stseni,medium,,,
A,Surf Brothers Skolkovo,Москва,water,серф на искусственной волне,4.6,88,4000,https://skolkovo.surfbrothers.ru/,"Самая широкая (9 м) и мощная искусственная волна в России в Сколково, тренировки с инструктором, спа и фитнес на месте.","Премиальный формат «серф + спа» для подарка, флагман индустрии; Zoon 4.6 при 88 отзывах, есть индивидуальные и групповые занятия.",,5,Для двоих;Для мужчин;Универсальные,,,Surf Brothers Skolkovo Большой бульвар 40,,https://zoon.ru/msk/entertainment/klub_serfinga_surf_brothers_skolkovo/,high,,,
A,Skypark Moscow (Zipline на Воробьёвых горах),Москва,extreme,зиплайн,4.5,108,2000,https://moscow.skypark.ru/,"700-метровый троллей над Москвой-рекой с Воробьёвых гор до Лужников, до 60 км/ч, 3 параллельные линии.","Единственный городской зиплайн в Москве, топ-локация с видом на центр, очень инстаграмно; сертификаты уже продают агрегаторы (Mosfly, Территория полёта). Отзывы отмечают высокую цену за 55 секунд.",,5,Для мужчин;Универсальные,2gis,Есть карточка на Яндекс Картах (Скайпарк). Жалобы на цену (5000 ₽ за ~1 мин),Skypark Воробьёвы горы Косыгина 28,,https://moscow.skypark.ru/,high,,,
A,Театр «Морфеус»,Санкт-Петербург,visual,Иммерсивный спектакль (зритель — главный герой),4.5,96,,https://spb.morpheus-show.ru/,"Театр без сцены, где зритель — главный герой и воспринимает историю через чувства; филиалы в Лондоне, Барселоне, Праге, Лос-Анджелесе.","Международная франшиза иммерсивного театра, открывшаяся в центре Петербурга — уникальное предложение для сертификата.",,4,Для двоих;Для женщин;Универсальные,other,"4.5 по 96 оценкам и 4.6 по 55 отзывам (2ГИС/Яндекс, источник в сниппете не привязан); наб. Мойки 28; есть критика интенсивной атмосферы",Морфеус иммерсивный театр Санкт-Петербург,,https://kuda-spb.ru/event/otkrytie-teatra-morfeus-v-sankt-peterburge/,medium,,,
A,Flow Moscow (волна + аэротруба),Москва,water,серф на волне / аэротруба,4.5,51,3500,https://moscowflow.ru/,"Комплекс в Люблино: единственная в России волна CityWave с регулируемой высотой (1,4 м) и самая большая аэротруба Москвы (4,5 м, 20 м высоты).","Две топовые активности в одном месте (вода + небо), час серфа 3,5–4,5 тыс. ₽; хорошие отзывы на Tripadvisor/irecommend. Не входит в базу (Freezone/FLYSTATION — другие).",,5,Для двоих;Для мужчин;Универсальные,2gis,В 2ГИС адрес Ставропольская 43 (бывш. Art Fly). Карточки Яндекс/Zoon есть,Flow Moscow Ставропольская 41,,https://www.tourister.ru/world/europe/russia/city/moscow/active/32146,high,,,
